language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
italian,RF,Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag chargram,0.731,0.590,0.653,0.655,0.782,0.713,0.693,0.686,0.683,0.686,3977,872
italian,RF,relationformADJ Sidorovbigramsform relationformVERB deprelneg chargram,0.720,0.606,0.658,0.659,0.763,0.707,0.689,0.685,0.683,0.685,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.706,0.632,0.667,0.665,0.736,0.699,0.686,0.684,0.683,0.684,3977,872
english,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformADJ,0.754,0.732,0.743,0.609,0.637,0.623,0.682,0.684,0.683,0.694,3834,784
italian,RF,deprel relationformVERB Sidorovbigramsupostag chargram,0.708,0.627,0.665,0.664,0.740,0.700,0.686,0.684,0.683,0.684,3977,872
italian,RF,relationformADJ deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.708,0.627,0.665,0.664,0.740,0.700,0.686,0.684,0.683,0.684,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel relationformVERB chargram,0.723,0.602,0.657,0.658,0.768,0.708,0.690,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.723,0.602,0.657,0.658,0.768,0.708,0.690,0.685,0.683,0.685,3977,872
italian,RF,ngrams relationformVERB Sidorovbigramsupostag chargram,0.710,0.622,0.663,0.663,0.745,0.701,0.686,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprelneg chargrams relationformNOUN,0.724,0.600,0.656,0.657,0.770,0.709,0.690,0.685,0.682,0.685,3977,872
italian,RF,relationformADJ ngrams chargrams relationformNOUN,0.709,0.625,0.664,0.663,0.743,0.701,0.686,0.684,0.682,0.684,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.710,0.622,0.663,0.663,0.745,0.701,0.686,0.684,0.682,0.684,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.710,0.622,0.663,0.663,0.745,0.701,0.686,0.684,0.682,0.684,3977,872
italian,RF,ngrams relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.711,0.620,0.663,0.662,0.747,0.702,0.687,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.725,0.597,0.655,0.656,0.772,0.710,0.691,0.685,0.682,0.685,3977,872
italian,RF,ngrams chargram,0.712,0.618,0.662,0.661,0.749,0.703,0.687,0.684,0.682,0.684,3977,872
italian,RF,ngrams deprelneg chargram,0.712,0.618,0.662,0.661,0.749,0.703,0.687,0.684,0.682,0.684,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.726,0.595,0.654,0.656,0.775,0.710,0.691,0.685,0.682,0.685,3977,872
italian,RF,Sidorovbigramsupostag chargrams relationformNOUN,0.712,0.618,0.662,0.661,0.749,0.703,0.687,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.714,0.616,0.661,0.661,0.752,0.703,0.687,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB,0.694,0.655,0.674,0.672,0.710,0.691,0.683,0.682,0.682,0.682,3977,872
italian,RF,ngrams Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.715,0.613,0.660,0.660,0.754,0.704,0.687,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.715,0.613,0.660,0.660,0.754,0.704,0.687,0.684,0.682,0.684,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsupostag chargram,0.715,0.613,0.660,0.660,0.754,0.704,0.687,0.684,0.682,0.684,3977,872
italian,RF,deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.729,0.590,0.652,0.654,0.779,0.711,0.692,0.685,0.682,0.685,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.611,0.659,0.659,0.756,0.705,0.688,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform relationformVERB chargrams relationformNOUN,0.716,0.611,0.659,0.659,0.756,0.705,0.688,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB,0.698,0.645,0.671,0.669,0.720,0.693,0.683,0.682,0.682,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargram,0.729,0.590,0.652,0.654,0.779,0.711,0.692,0.685,0.682,0.685,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB deprelneg chargrams relationformNOUN,0.716,0.611,0.659,0.659,0.756,0.705,0.688,0.684,0.682,0.684,3977,872
italian,RF,ngrams Sidorovbigramsform chargram,0.717,0.609,0.658,0.659,0.759,0.705,0.688,0.684,0.682,0.684,3977,872
italian,RF,Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.609,0.658,0.659,0.759,0.705,0.688,0.684,0.682,0.684,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel chargrams relationformNOUN,0.718,0.606,0.658,0.658,0.761,0.706,0.688,0.684,0.682,0.684,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB chargram,0.719,0.604,0.657,0.657,0.763,0.706,0.688,0.684,0.682,0.684,3977,872
italian,RF,Sidorovbigramsdeprel relationformVERB deprelneg chargrams relationformNOUN,0.719,0.604,0.657,0.657,0.763,0.706,0.688,0.684,0.682,0.684,3977,872
italian,RF,relationformADJ relationformVERB chargram,0.706,0.627,0.664,0.663,0.738,0.699,0.685,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargram,0.706,0.627,0.664,0.663,0.738,0.699,0.685,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel deprelneg chargrams relationformNOUN,0.707,0.625,0.663,0.663,0.740,0.699,0.685,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.722,0.600,0.655,0.656,0.768,0.708,0.689,0.684,0.681,0.684,3977,872
italian,RF,deprelneg chargrams relationformNOUN,0.709,0.620,0.662,0.661,0.745,0.701,0.685,0.682,0.681,0.682,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.708,0.622,0.663,0.662,0.743,0.700,0.685,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ ngrams deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.723,0.597,0.654,0.656,0.770,0.708,0.689,0.684,0.681,0.684,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg chargram,0.709,0.620,0.662,0.661,0.745,0.701,0.685,0.682,0.681,0.682,3977,872
italian,RF,Sidorovbigramsdeprel deprel deprelneg chargram,0.709,0.620,0.662,0.661,0.745,0.701,0.685,0.682,0.681,0.682,3977,872
italian,RF,ngrams deprel Sidorovbigramsupostag chargram,0.711,0.618,0.661,0.661,0.747,0.701,0.686,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargrams relationformNOUN,0.711,0.618,0.661,0.661,0.747,0.701,0.686,0.682,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargram,0.711,0.618,0.661,0.661,0.747,0.701,0.686,0.682,0.681,0.682,3977,872
italian,RF,ngrams deprel relationformVERB Sidorovbigramsupostag chargram,0.712,0.616,0.660,0.660,0.749,0.702,0.686,0.683,0.681,0.682,3977,872
italian,RF,Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.712,0.616,0.660,0.660,0.749,0.702,0.686,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB,0.694,0.650,0.671,0.670,0.713,0.690,0.682,0.681,0.681,0.681,3977,872
italian,RF,chargrams relationformNOUN,0.716,0.606,0.657,0.657,0.759,0.704,0.687,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.699,0.638,0.668,0.666,0.724,0.694,0.683,0.681,0.681,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.606,0.657,0.657,0.759,0.704,0.687,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.606,0.657,0.657,0.759,0.704,0.687,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargram,0.716,0.606,0.657,0.657,0.759,0.704,0.687,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprelneg chargrams relationformNOUN,0.717,0.604,0.656,0.657,0.761,0.705,0.687,0.683,0.681,0.682,3977,872
italian,RF,Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.604,0.656,0.657,0.761,0.705,0.687,0.683,0.681,0.682,3977,872
italian,RF,relationformADJ deprel Sidorovbigramsupostag chargrams relationformNOUN,0.703,0.629,0.664,0.663,0.733,0.697,0.683,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ deprel deprelneg chargrams relationformNOUN,0.705,0.625,0.663,0.662,0.738,0.698,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ ngrams deprelneg chargrams relationformNOUN,0.720,0.600,0.654,0.656,0.766,0.706,0.688,0.683,0.680,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel Sidorovbigramsupostag chargram,0.705,0.625,0.663,0.662,0.738,0.698,0.684,0.681,0.680,0.681,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.600,0.654,0.656,0.766,0.706,0.688,0.683,0.680,0.682,3977,872
italian,RF,deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.707,0.622,0.662,0.661,0.740,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.721,0.597,0.653,0.655,0.768,0.707,0.688,0.683,0.680,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.707,0.622,0.662,0.661,0.740,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargram,0.721,0.597,0.653,0.655,0.768,0.707,0.688,0.683,0.680,0.682,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg chargram,0.707,0.622,0.662,0.661,0.740,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag chargram,0.707,0.622,0.662,0.661,0.740,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ Sidorovbigramsform relationformVERB chargram,0.708,0.620,0.661,0.661,0.743,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB chargram,0.708,0.620,0.661,0.661,0.743,0.699,0.684,0.681,0.680,0.681,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.709,0.618,0.660,0.660,0.745,0.700,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargram,0.709,0.618,0.660,0.660,0.745,0.700,0.684,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel chargram,0.710,0.616,0.659,0.659,0.747,0.700,0.685,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.710,0.616,0.659,0.659,0.747,0.700,0.685,0.681,0.680,0.681,3977,872
italian,RF,deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.724,0.593,0.652,0.654,0.772,0.708,0.689,0.683,0.680,0.682,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.711,0.613,0.659,0.659,0.749,0.701,0.685,0.681,0.680,0.681,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.711,0.613,0.659,0.659,0.749,0.701,0.685,0.681,0.680,0.681,3977,872
italian,RF,ngrams relationformVERB deprelneg chargrams relationformNOUN,0.725,0.590,0.651,0.653,0.775,0.709,0.689,0.683,0.680,0.682,3977,872
italian,RF,ngrams Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.712,0.611,0.658,0.658,0.752,0.702,0.685,0.681,0.680,0.681,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel chargram,0.714,0.606,0.656,0.657,0.756,0.703,0.686,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel chargram,0.714,0.606,0.656,0.657,0.756,0.703,0.686,0.681,0.680,0.681,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.714,0.606,0.656,0.657,0.756,0.703,0.686,0.681,0.680,0.681,3977,872
italian,RF,relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.714,0.606,0.656,0.657,0.756,0.703,0.686,0.681,0.680,0.681,3977,872
italian,RF,ngrams deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.715,0.604,0.655,0.656,0.759,0.704,0.686,0.681,0.679,0.681,3977,872
italian,RF,relationformADJ deprelneg chargram,0.715,0.604,0.655,0.656,0.759,0.704,0.686,0.681,0.679,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.715,0.604,0.655,0.656,0.759,0.704,0.686,0.681,0.679,0.681,3977,872
english,RF,ngrams relationformVERB chargrams relationformADJ,0.757,0.713,0.734,0.599,0.653,0.625,0.678,0.683,0.679,0.689,3834,784
italian,RF,ngrams deprel relationformVERB relationformNOUN,0.665,0.728,0.695,0.698,0.632,0.663,0.682,0.680,0.679,0.680,3977,872
italian,RF,relationformADJ ngrams deprelneg Sidorovbigramsupostag chargram,0.701,0.632,0.664,0.663,0.729,0.694,0.682,0.680,0.679,0.680,3977,872
italian,RF,ngrams deprel relationformVERB chargrams relationformNOUN,0.717,0.602,0.654,0.655,0.761,0.704,0.686,0.681,0.679,0.681,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel chargrams relationformNOUN,0.703,0.627,0.663,0.662,0.733,0.696,0.682,0.680,0.679,0.680,3977,872
italian,RF,Sidorovbigramsdeprel chargrams relationformNOUN,0.717,0.602,0.654,0.655,0.761,0.704,0.686,0.681,0.679,0.681,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg chargrams relationformNOUN,0.704,0.625,0.662,0.661,0.736,0.696,0.682,0.680,0.679,0.680,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB deprelneg chargrams relationformNOUN,0.718,0.600,0.653,0.655,0.763,0.705,0.686,0.681,0.679,0.681,3977,872
italian,RF,deprel chargram,0.705,0.622,0.661,0.661,0.738,0.697,0.683,0.680,0.679,0.680,3977,872
italian,RF,ngrams deprel Sidorovbigramsupostag chargrams relationformNOUN,0.705,0.622,0.661,0.661,0.738,0.697,0.683,0.680,0.679,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsupostag chargram,0.705,0.622,0.661,0.661,0.738,0.697,0.683,0.680,0.679,0.680,3977,872
italian,RF,Sidorovbigramsform relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.719,0.597,0.653,0.654,0.766,0.706,0.687,0.681,0.679,0.681,3977,872
italian,RF,ngrams Sidorovbigramsform deprel Sidorovbigramsupostag chargrams relationformNOUN,0.707,0.618,0.659,0.659,0.743,0.698,0.683,0.680,0.679,0.680,3977,872
italian,RF,relationformVERB chargrams relationformNOUN,0.706,0.620,0.660,0.660,0.740,0.698,0.683,0.680,0.679,0.680,3977,872
italian,RF,relationformADJ Sidorovbigramsform chargrams relationformNOUN,0.708,0.616,0.659,0.659,0.745,0.699,0.683,0.680,0.679,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB deprelneg chargram,0.709,0.613,0.658,0.658,0.747,0.700,0.683,0.680,0.679,0.680,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.710,0.611,0.657,0.657,0.749,0.700,0.684,0.680,0.679,0.680,3977,872
italian,RF,ngrams Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.710,0.611,0.657,0.657,0.749,0.700,0.684,0.680,0.679,0.680,3977,872
italian,RF,relationformADJ deprel chargram,0.711,0.609,0.656,0.657,0.752,0.701,0.684,0.680,0.679,0.680,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsupostag chargrams relationformNOUN,0.711,0.609,0.656,0.657,0.752,0.701,0.684,0.680,0.679,0.680,3977,872
italian,RF,deprel deprelneg chargram,0.712,0.606,0.655,0.656,0.754,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.712,0.606,0.655,0.656,0.754,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel relationformVERB deprelneg chargrams relationformNOUN,0.712,0.606,0.655,0.656,0.754,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,ngrams Sidorovbigramsform relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.714,0.604,0.654,0.655,0.756,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ chargrams relationformNOUN,0.714,0.604,0.654,0.655,0.756,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.714,0.604,0.654,0.655,0.756,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.714,0.604,0.654,0.655,0.756,0.702,0.684,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB deprelneg chargrams relationformNOUN,0.700,0.629,0.663,0.662,0.729,0.694,0.681,0.679,0.678,0.679,3977,872
italian,RF,ngrams Sidorovbigramsform chargrams relationformNOUN,0.701,0.627,0.662,0.661,0.731,0.694,0.681,0.679,0.678,0.679,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargram,0.715,0.602,0.653,0.655,0.759,0.703,0.685,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform relationformVERB chargram,0.715,0.602,0.653,0.655,0.759,0.703,0.685,0.680,0.678,0.680,3977,872
italian,RF,deprel relationformVERB deprelneg chargram,0.703,0.622,0.660,0.660,0.736,0.696,0.681,0.679,0.678,0.679,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel chargrams relationformNOUN,0.717,0.597,0.652,0.654,0.763,0.704,0.685,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel,0.703,0.622,0.660,0.660,0.736,0.696,0.681,0.679,0.678,0.679,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg chargrams relationformNOUN,0.703,0.622,0.660,0.660,0.736,0.696,0.681,0.679,0.678,0.679,3977,872
italian,RF,Sidorovbigramsform deprel deprelneg chargram,0.717,0.597,0.652,0.654,0.763,0.704,0.685,0.680,0.678,0.680,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.704,0.620,0.659,0.659,0.738,0.696,0.682,0.679,0.678,0.679,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.704,0.620,0.659,0.659,0.738,0.696,0.682,0.679,0.678,0.679,3977,872
italian,RF,Sidorovbigramsform relationformVERB Sidorovbigramsupostag chargram,0.718,0.595,0.651,0.653,0.766,0.705,0.686,0.680,0.678,0.680,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg,0.688,0.652,0.670,0.668,0.703,0.685,0.678,0.678,0.678,0.678,3977,872
italian,RF,Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.707,0.613,0.657,0.657,0.745,0.698,0.682,0.679,0.678,0.679,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB chargrams relationformNOUN,0.708,0.611,0.656,0.657,0.747,0.699,0.682,0.679,0.678,0.679,3977,872
